Team check,Category,MS type,Account name,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Accounting,Labor,Salaries,Labor Cost_Salaries(Basic),2025,1351,1290,1577,1600,1501,1626,1510,1491,1410,1409,1454,1509
Accounting,Labor,Salaries,Labor Cost_Salaries(Overtime Allowance),2025,352,9,121,118,55,192,118,200,196,142,181,35
Accounting,Labor,Salaries,Labor Cost_Salaries(Holiday Work Allowance),2025,0,0,0,0,33,109,127,0,-2,-2,46,0
Accounting,Labor,Salaries,Labor Cost_Salaries(Position/Job Allowance),2025,114,112,112,119,117,120,113,112,105,105,109,113
Accounting,Labor,Salaries,Labor Cost_Salaries(Others),2025,134,136,162,178,55,52,44,43,39,39,42,73
Accounting,Labor,Bonus,Labor Cost_Bonus(General_Office Staff),2025,122,120,162,142,140,143,135,133,126,126,130,135
Accounting,Labor,Bonus,Labor Cost_Bonus(Personal Incentive_Office Staff),2025,81,92,104,-96,-42,74,-72,87,178,62,653,225
Accounting,Labor,Bonus,Labor Cost_Bonus(STI),2025,188,144,199,173,169,174,164,161,152,152,157,164
Accounting,Labor,Provision for Severance Benefits,Labor Cost_Provision for Severance Benefits,2025,162,-1,0,3,1,2,0,0,-1,-1,0,0
Accounting,Labor,Welfare,Labor Cost_Welfare(General),2025,71,69,69,31,37,38,35,52,49,44,68,70
Accounting,Labor,Welfare,Labor Cost_Welfare(Medical Insurance),2025,44,43,48,51,50,51,49,48,45,45,47,49
Accounting,Labor,Welfare,Labor Cost_Welfare(Employment Insurance),2025,15,14,16,17,17,17,16,16,15,15,16,16
Accounting,Labor,Welfare,Labor Cost_Welfare(Award_Refresh),2025,0,0,0,0,0,0,0,0,0,0,0,0
Accounting,Labor,Welfare,Labor Cost_Welfare(Outdoor Activities),2025,0,0,0,0,0,0,0,0,0,0,0,0
Accounting,Labor,Welfare,Labor Cost_Welfare(Work Uniform),2025,0,0,0,0,0,0,0,0,0,0,0,0
Accounting,Labor,Welfare,Labor Cost_Welfare(Social Security),2025,256,253,282,297,293,300,284,280,265,265,274,284
EA/GA,Labor,Welfare,Labor Cost_Welfare(Meal Support),2025,9354,9638,19527,26474,25466,21276,20828,18370,19498,26505,12830,21723
EA/GA,Labor,Welfare,Labor Cost_Welfare(Congratulations and Condolences),2025,0,47,63,11,19,11,18,28,46,45,18,66
EA/GA,Labor,Welfare,Labor Cost_Welfare(Support for Festival Day),2025,0,0,202,4,206,4,0,-1,-3,-2,-1,1008
EA/GA,Labor,Welfare,Labor Cost_Welfare(Educational Expenses-Tuition),2025,0,0,6220,5911,94,125,8468,-31,347,-118,-40,31
EA/GA,Labor,Welfare,Labor Cost_Welfare(Health Examination),2025,0,0,0,0,0,0,105,399,-3,-3,831,2
EA/GA,Labor,Welfare,Labor Cost_Welfare(Gift),2025,0,2451,-2,653,24,635,-3,-6,2409,-34,-12,532
EA/GA,Labor,Welfare,Labor Cost_Welfare(Work Uniform),2025,0,0,0,0,99,1,0,0,-1,-1,0,477
EA/GA,Labor,Welfare,Labor Cost_Welfare(Other Pension),2025,979,-5,514,431,15,20,472,976,-889,-14,1409,6
EA/GA,Manuf Exp,Consumable Supplies,Manuf Exp_Consumable Supplies(Office use),2025,109,77,0,158,3,88,0,-1,334,123,84,102
EA/GA,Manuf Exp,Rent,Manuf Exp_Rent(Employee housing),2025,7550,6702,7410,6295,6284,6409,5441,5414,4896,4369,4421,4398
EA/GA,Manuf Exp,Insurance,Manuf Exp_Insurance(Property),2025,4802,4273,4719,2538,2510,2512,2374,2337,2098,2181,2202,2387
EA/GA,Manuf Exp,Insurance,Manuf Exp_Insurance(Automobile),2025,0,0,0,0,0,0,0,0,0,0,0,0
EA/GA,Manuf Exp,Insurance,Manuf Exp_Insurance(Others),2025,0,0,0,0,0,0,0,0,0,218,555,1
EA/GA,Manuf Exp,Travel,Manuf Exp_Travel(Urban),2025,531,1068,762,1022,818,1161,1067,854,913,671,790,632
EA/GA,Manuf Exp,Communication,Manuf Exp_Communication(Wire/Wireless),2025,132,112,135,136,144,117,118,140,120,71,106,99
EA/GA,Manuf Exp,Commission & Charge,Manuf Exp_Commission & Charge_General Service(General Admin),2025,1780,1720,1787,2099,2039,2044,1642,1609,1553,1372,1763,1790
EA/GA,Manuf Exp,Commission & Charge,Manuf Exp_Commission & Charge_General Service(Translation),2025,0,0,0,0,0,0,0,0,0,0,0,20
EA/GA,Manuf Exp,Commission & Charge,Manuf Exp_Commission & Charge_General Service(Others),2025,9548,8563,10363,10195,9194,12023,8647,8134,8748,8670,9054,9613
EA/GA,Manuf Exp,Commission & Charge,Manuf Exp_Commission & Charge_Others(Others),2025,0,0,0,0,0,0,0,0,0,0,0,0
EA/GA,Manuf Exp,Vehicle Maintenance,Manuf Exp_Vehicle Maintenance(Others),2025,0,0,0,0,0,0,0,0,0,0,0,0
FIN_Common_MFG,Manuf Exp,Depreciation & Amortization,Manuf Exp_Depreciation(Buildings),2025,0,0,0,0,0,0,0,0,0,0,0,0
FIN_Common_MFG,Manuf Exp,Depreciation & Amortization,Manuf Exp_Depreciation(Buildings_Fixtures and Facilities),2025,222,219,89,99,95,98,90,-1,-6,-5,-2,1
FIN_Common_MFG,Manuf Exp,Depreciation & Amortization,Manuf Exp_Depreciation(Machinery),2025,34,34,34,36,35,166,164,162,156,156,158,162
FIN_Common_MFG,Manuf Exp,Depreciation & Amortization,Manuf Exp_Depreciation_Tools & Equipment(General Tools),2025,108,106,106,112,36,38,33,32,29,29,-1,1
FIN_Common_MFG,Manuf Exp,Depreciation & Amortization,Manuf Exp_Depreciation_Office Equipment(Office),2025,81,80,79,76,74,76,63,62,14,14,17,19
FIN_Common_MFG,Manuf Exp,Depreciation & Amortization,Manuf Exp_Depreciation_Office Equipment_IT_H/W(PC),2025,127,125,102,109,106,109,103,59,45,12,-2,1
FIN_Common_MFG,Manuf Exp,Depreciation & Amortization,Manuf Exp_Depreciation_Office Equipment_IT_H/W(ENG.Workstation Device),2025,18,18,18,19,18,19,18,17,17,17,17,18
FIN_Common_MFG,Manuf Exp,Depreciation & Amortization,Manuf Exp_Depreciation_Land(Right of use Asset),2025,19825,19543,19479,20639,20307,20824,19651,19393,18322,18317,18913,19638
FSE,Manuf Exp,Meeting,Manuf Exp_Meeting,2025,0,0,0,0,0,0,0,0,0,0,0,0
HS MIT,Labor,Salaries,Labor Cost_Salaries(Basic),2025,1255,-1251,0,0,0,0,0,0,1082,-1084,0,0
HS MIT,Labor,Bonus,Labor Cost_Bonus(General_Office Staff),2025,2306,-2298,0,0,0,0,0,0,2002,-2005,0,0
HS MIT,Labor,Bonus,Labor Cost_Bonus(Personal Incentive_Office Staff),2025,27,-27,0,0,0,0,0,0,67,0,0,0
HS MIT,Labor,Bonus,Labor Cost_Bonus(STI),2025,408,-407,0,0,0,0,0,0,2603,-2606,0,0
PE Department,Labor,Salaries,Labor Cost_Salaries(Basic),2025,2687,8098,8670,11061,8811,9188,8926,8541,8024,1957,8170,14684
PE Department,Labor,Salaries,Labor Cost_Salaries(Not-used Vacation Compensation),2025,270,769,1868,1219,1343,372,611,864,614,455,-1487,-5136
PE Department,Labor,Salaries,Labor Cost_Salaries(Others),2025,11076,23653,4493,6426,4946,5184,4778,4476,4105,11377,4605,8088
PE Department,Labor,Bonus,Labor Cost_Bonus(Personal Incentive_Office Staff),2025,0,0,0,0,0,0,0,0,0,0,0,0
PE Department,Labor,Bonus,Labor Cost_Bonus(STI),2025,1195,1208,1282,1470,1582,1577,1212,1359,1138,997,900,-13721
PE Department,Labor,Bonus,Labor Cost_Bonus(Special Incentive_Office Staff),2025,1379,-14841,1496,1414,1699,1652,1410,1592,1424,1241,1069,1726
PE Department,Labor,Welfare,Labor Cost_Welfare(General),2025,361,341,352,117,9,94,71,349,80,319,339,347
PE Department,Labor,Welfare,Labor Cost_Welfare(Housing Support),2025,0,0,0,0,0,0,0,0,0,0,0,0
PE Department,Manuf Exp,Travel,Manuf Exp_Travel(Domestic),2025,0,0,0,0,0,0,0,0,0,0,0,0
PE Department,Manuf Exp,Travel,Manuf Exp_Travel(Overseas),2025,0,0,0,0,0,0,0,0,0,0,0,0
PE Department,Manuf Exp,Communication,Manuf Exp_Communication(Wire/Wireless),2025,0,0,0,0,0,0,0,0,0,0,0,0
PE Department,Manuf Exp,Meeting,Manuf Exp_Meeting,2025,361,353,353,19,8,11,-1,-2,-7,-6,348,354
HS PE,Labor,Salaries,Labor Cost_Salaries(Basic),2025,3653,3691,4003,4131,4044,4195,3892,3820,4443,2808,3727,3874
HS PE,Labor,Salaries,Labor Cost_Salaries(Overtime Allowance),2025,1271,620,814,1124,620,827,1008,1276,866,657,710,521
HS PE,Labor,Salaries,Labor Cost_Salaries(Holiday Work Allowance),2025,521,275,360,440,514,578,518,448,198,290,207,299
HS PE,Labor,Salaries,Labor Cost_Salaries(Position/Job Allowance),2025,114,112,112,119,117,120,113,112,105,105,109,111
HS PE,Labor,Salaries,Labor Cost_Salaries(Others),2025,166,135,137,146,143,190,138,136,128,170,133,138
HS PE,Labor,Wages,Labor Cost_Wages(Basic),2025,1543,1588,1678,1728,1692,1755,1571,1620,1626,1393,1567,1627
HS PE,Labor,Wages,Labor Cost_Wages(Overtime Allowance),2025,1133,429,635,581,522,637,632,698,808,466,602,736
HS PE,Labor,Wages,Labor Cost_Wages(Holiday Work Allowance),2025,371,402,374,546,340,517,361,364,208,356,324,404
HS PE,Labor,Wages,Labor Cost_Wages(All Night Allowance),2025,6,33,9,1,0,1,14,27,-1,0,0,0
HS PE,Labor,Wages,Labor Cost_Wages(Others),2025,153,151,151,160,157,161,147,147,140,142,146,152
HS PE,Labor,Bonus,Labor Cost_Bonus(General_Office Staff),2025,-288,313,376,340,340,348,334,330,1834,-1206,322,330
HS PE,Labor,Bonus,Labor Cost_Bonus(General_Operator),2025,129,127,150,142,140,144,136,134,197,56,131,136
HS PE,Labor,Bonus,Labor Cost_Bonus(Personal Incentive_Office Staff),2025,314,339,374,61,-60,290,289,323,641,-647,145,116
HS PE,Labor,Bonus,Labor Cost_Bonus(Personal Incentive_Operator),2025,0,0,34,1,0,0,0,0,558,-3,-1,1
HS PE,Labor,Bonus,Labor Cost_Bonus(STI),2025,-407,395,477,429,430,439,422,417,2373,-1579,407,420
HS PE,Labor,Bonus,Labor Cost_Bonus(STI_Operator),2025,-21,64,63,65,65,67,64,63,346,-226,61,63
HS PE,Labor,Welfare,Labor Cost_Welfare(General),2025,0,0,0,0,0,0,0,0,0,0,0,0
HS PE,Labor,Welfare,Labor Cost_Welfare(Medical Insurance),2025,160,159,170,179,177,181,171,169,160,160,165,171
HS PE,Labor,Welfare,Labor Cost_Welfare(Employment Insurance),2025,53,53,57,60,59,60,57,56,53,53,55,57
HS PE,Labor,Welfare,Labor Cost_Welfare(Award_Refresh),2025,0,0,0,0,0,0,0,0,0,0,0,0
HS PE,Labor,Welfare,Labor Cost_Welfare(Outdoor Activities),2025,0,0,0,0,0,0,0,0,0,0,0,0
HS PE,Labor,Welfare,Labor Cost_Welfare(Work Uniform),2025,0,0,0,0,0,0,0,0,0,0,0,0
HS PE,Labor,Welfare,Labor Cost_Welfare(Social Security),2025,935,929,990,1046,1030,1056,998,985,932,931,961,997
HS PE,Manuf Exp,Depreciation & Amortization,Manuf Exp_Depreciation(Machinery),2025,48,48,48,50,50,51,48,47,45,45,46,48
HS PE,Manuf Exp,Depreciation & Amortization,Manuf Exp_Depreciation_Tools & Equipment(General Tools),2025,181,179,178,189,186,191,180,178,168,168,173,180
HS PE,Manuf Exp,Depreciation & Amortization,Manuf Exp_Depreciation_Office Equipment_IT_H/W(PC),2025,26,26,25,27,27,27,26,25,7,-1,0,0
HS PE,Manuf Exp,Consumable Supplies,Manuf Exp_Consumable Supplies(Manuf),2025,0,0,11268,-11126,0,0,0,0,0,0,0,0
HS PE,Manuf Exp,Travel,Manuf Exp_Travel(Overseas),2025,0,0,0,0,0,0,0,0,0,0,0,0
HS PE,Manuf Exp,Commission & Charge,Manuf Exp_Commission & Charge_Others(Examination/Measurement),2025,0,0,0,0,0,0,0,0,780,392,-2,2
HS SCM,Labor,Salaries,Labor Cost_Salaries(Basic),2025,409,-408,0,0,0,0,0,0,0,0,0,0
HS SCM,Labor,Salaries,Labor Cost_Salaries(Overtime Allowance),2025,-14,14,0,0,0,0,0,0,0,0,0,0
HS SCM,Labor,Bonus,Labor Cost_Bonus(General_Office Staff),2025,815,-813,0,0,0,0,0,0,0,0,0,0
HS SCM,Labor,Bonus,Labor Cost_Bonus(Personal Incentive_Office Staff),2025,27,-27,0,0,0,0,0,0,0,0,0,0
HS SCM,Labor,Bonus,Labor Cost_Bonus(STI),2025,133,-132,0,0,0,0,0,0,0,0,0,0
HRM,Labor,Salaries,Labor Cost_Salaries(Others),2025,0,0,0,0,0,0,0,0,0,0,0,0
HRM,Labor,Welfare,Labor Cost_Welfare(Group Insurance),2025,173,154,170,174,192,264,262,259,236,241,240,256
HRM,Labor,Welfare,Labor Cost_Welfare(Health Examination),2025,0,0,0,14,509,32,0,-1,-4,-3,-1,1
HRM,Labor,Welfare,Labor Cost_Welfare(HR Support),2025,543,536,579,612,601,537,431,471,114,391,406,424
IT/Security,Manuf Exp,Repair,Manuf Exp_Repair(Machinery),2025,0,0,0,0,0,0,0,0,0,0,0,5152
IT/Security,Manuf Exp,Commission & Charge,Manuf Exp_Commission & Charge_Others(Examination/Measurement),2025,0,0,0,0,0,0,0,0,0,0,0,0
Logistics,Labor,Salaries,Labor Cost_Salaries(Basic),2025,7197,6899,7721,7944,7785,8034,7170,7516,6685,6198,6585,6300
Logistics,Labor,Salaries,Labor Cost_Salaries(Overtime Allowance),2025,2867,751,1424,1587,1107,1509,1333,1778,1449,1219,1109,1121
Logistics,Labor,Salaries,Labor Cost_Salaries(Holiday Work Allowance),2025,0,58,0,1,14,1,385,-1,220,186,46,285
Logistics,Labor,Salaries,Labor Cost_Salaries(All Night Allowance),2025,2,0,14,23,24,3,0,0,4,11,13,8
Logistics,Labor,Salaries,Labor Cost_Salaries(Position/Job Allowance),2025,114,112,112,119,230,235,227,224,214,211,219,225
Logistics,Labor,Salaries,Labor Cost_Salaries(Others),2025,400,447,454,522,481,407,298,483,266,254,268,274
Logistics,Labor,Bonus,Labor Cost_Bonus(General_Office Staff),2025,50,393,725,653,696,674,312,670,570,305,561,-451
Logistics,Labor,Bonus,Labor Cost_Bonus(Personal Incentive_Office Staff),2025,473,501,556,338,-218,402,413,516,333,-569,419,247
Logistics,Labor,Bonus,Labor Cost_Bonus(STI),2025,880,707,930,853,839,860,380,994,728,388,719,-446
Logistics,Labor,Provision for Severance Benefits,Labor Cost_Provision for Severance Benefits,2025,14,-164,0,-3,-1,-2,0,0,1,150,0,155
Logistics,Labor,Welfare,Labor Cost_Welfare(General),2025,377,370,370,206,197,203,186,276,262,261,361,371
Logistics,Labor,Welfare,Labor Cost_Welfare(Medical Insurance),2025,215,212,229,242,242,248,235,240,211,201,208,217
Logistics,Labor,Welfare,Labor Cost_Welfare(Employment Insurance),2025,72,71,76,81,81,83,78,80,70,67,69,72
Logistics,Labor,Welfare,Labor Cost_Welfare(Award_Refresh),2025,0,216,0,4,2,2,0,0,-1,-1,0,0
Logistics,Labor,Welfare,Labor Cost_Welfare(Outdoor Activities),2025,0,0,395,7,3,4,113,36,-4,36,106,1
Logistics,Labor,Welfare,Labor Cost_Welfare(Work Uniform),2025,0,0,0,0,0,0,0,0,0,0,0,0
Logistics,Labor,Welfare,Labor Cost_Welfare(Social Security),2025,1256,1239,1336,1413,1412,1447,1368,1402,1230,1175,1216,1265
Logistics,Manuf Exp,Depreciation & Amortization,Manuf Exp_Depreciation(Buildings_Fixtures and Facilities),2025,0,0,0,0,0,0,0,0,0,0,0,0
Logistics,Manuf Exp,Depreciation & Amortization,Manuf Exp_Depreciation_Tools & Equipment(General Tools),2025,423,417,415,440,433,444,537,530,505,504,647,658
Logistics,Manuf Exp,Depreciation & Amortization,Manuf Exp_Depreciation_Office Equipment(Office),2025,42,42,42,44,43,45,42,41,39,39,40,42
Logistics,Manuf Exp,Depreciation & Amortization,Manuf Exp_Amortization_Intangible Asset_Development Cost(System Development),2025,3529,3479,3468,3674,3615,3707,3498,3452,3262,3261,3367,3496
Logistics,Manuf Exp,Consumable Supplies,Manuf Exp_Consumable Supplies(Office use),2025,0,0,0,0,0,0,0,0,0,0,0,0
Logistics,Manuf Exp,Consumable Supplies,Manuf Exp_Consumable Supplies(Others),2025,0,0,0,0,9692,100,-7,-15,-66,-54,-18,14
Logistics,Manuf Exp,Communication,Manuf Exp_Communication(Wire/Wireless),2025,0,0,0,0,0,0,0,0,0,0,0,0
Logistics,Manuf Exp,Commission & Charge,Manuf Exp_Commission & Charge_Expert Services(Consulting),2025,342,337,336,356,351,360,-2,-3,991,316,327,339
Logistics,Manuf Exp,Commission & Charge,Manuf Exp_Commission & Charge_In Transit(Customs Clearance),2025,25,25,21,1,107,26,13,101,23,10,13,64
Logistics,Manuf Exp,Commission & Charge,Manuf Exp_Commission & Charge_In Transit(Transportation Extra Charge),2025,68,58,45,3,375,241,19,193,23,46,-1,114
Logistics,Manuf Exp,Commission & Charge,"Manuf Exp_Commission & Charge_In Transit_Difference Adjustment,Free Sample(Sea)",2025,0,0,96,-25,8752,91,672,13,-65,-53,-18,14
Logistics,Manuf Exp,Commission & Charge,"Manuf Exp_Commission & Charge_In Transit_Difference Adjustment,Free Sample(Air)",2025,0,1008,165,20,9,12,419,393,148,532,-5,77
Logistics,Manuf Exp,Commission & Charge,Manuf Exp_Commission & Charge_In Transit(Others),2025,151,200,137,8,722,242,399,433,113,58,9,114
Logistics,Manuf Exp,Commission & Charge,Manuf Exp_Commission & Charge_Others(Software&License),2025,145,125,138,142,144,143,139,138,126,111,111,120
Logistics,Manuf Exp,Commission & Charge,Manuf Exp_Commission & Charge_Others(Others),2025,48,44,77,99,86,83,81,80,70,68,68,73
Logistics,Manuf Exp,Entertainment,Manuf Exp_Entertainment,2025,0,0,0,0,0,0,0,0,1056,-6,1543,4
Logistics,Manuf Exp,Meeting,Manuf Exp_Meeting,2025,0,0,0,0,0,0,0,0,0,0,0,0
Procurement Planning,Labor,Salaries,Labor Cost_Salaries(Basic),2025,6988,7073,8016,8067,8063,1395,-16699,-34,-150,-124,-42,32
Procurement Planning,Labor,Salaries,Labor Cost_Salaries(Overtime Allowance),2025,1872,743,1341,1380,385,942,-3618,-4,-20,-16,-5,4
Procurement Planning,Labor,Salaries,Labor Cost_Salaries(Holiday Work Allowance),2025,0,0,0,0,0,0,0,0,0,0,0,0
Procurement Planning,Labor,Salaries,Labor Cost_Salaries(Position/Job Allowance),2025,514,503,505,535,526,140,-684,-3,-13,-11,-4,3
Procurement Planning,Labor,Salaries,Labor Cost_Salaries(Others),2025,365,453,332,379,405,166,-560,-2,-10,-8,-3,2
Procurement Planning,Labor,Bonus,Labor Cost_Bonus(General_Office Staff),2025,389,619,727,688,765,-1879,-1255,0,0,0,0,0
Procurement Planning,Labor,Bonus,Labor Cost_Bonus(Personal Incentive_Office Staff),2025,412,468,421,599,625,170,-714,-3,-13,-11,-4,3
Procurement Planning,Labor,Bonus,Labor Cost_Bonus(STI),2025,1516,744,890,854,1003,-2287,-2101,-1,-4,-3,-1,1
Procurement Planning,Labor,Provision for Severance Benefits,Labor Cost_Provision for Severance Benefits,2025,16,0,0,0,0,-162,0,0,1,1,0,0
Procurement Planning,Labor,Welfare,Labor Cost_Welfare(General),2025,353,347,347,367,186,193,-1,-3,-12,-10,-3,3
Procurement Planning,Labor,Welfare,Labor Cost_Welfare(Medical Insurance),2025,228,224,251,265,254,102,-512,-1,-5,-4,-1,1
Procurement Planning,Labor,Welfare,Labor Cost_Welfare(Employment Insurance),2025,76,75,84,88,85,34,-171,0,-2,-1,0,0
Procurement Planning,Labor,Welfare,Labor Cost_Welfare(Award_Refresh),2025,217,-1,209,210,5,7,0,-1,-4,-4,-1,1
Procurement Planning,Labor,Welfare,Labor Cost_Welfare(Outdoor Activities),2025,0,0,371,6,3,4,0,-1,-3,-2,-1,1
Procurement Planning,Labor,Welfare,Labor Cost_Welfare(Work Uniform),2025,0,0,0,0,0,0,0,0,0,0,0,0
Procurement Planning,Labor,Welfare,Labor Cost_Welfare(Social Security),2025,1328,1310,1463,1545,1484,596,-2988,-7,-31,-26,-9,7
Procurement Planning,Manuf Exp,Depreciation & Amortization,Manuf Exp_Depreciation_Office Equipment_IT_H/W(PC),2025,0,0,0,0,0,0,0,0,0,0,0,0
Procurement Planning,Manuf Exp,Consumable Supplies,Manuf Exp_Consumable Supplies(Office use),2025,0,0,0,0,0,0,0,0,0,0,0,0
Procurement Planning,Manuf Exp,Travel,Manuf Exp_Travel(Domestic),2025,0,0,0,0,0,0,0,0,0,0,0,0
Procurement Planning,Manuf Exp,Travel,Manuf Exp_Travel(Overseas),2025,0,1977,-2,34,15,20,-2,-3,-13,-11,-4,3
Procurement Planning,Manuf Exp,Commission & Charge,Manuf Exp_Commission & Charge_Others(Others),2025,0,0,0,0,0,0,0,0,0,0,0,0
Procurement Planning,Manuf Exp,Entertainment,Manuf Exp_Entertainment,2025,0,0,0,0,0,0,0,0,0,0,0,0
Procurement Planning,Manuf Exp,Book & Publication,Manuf Exp_Book & Publication(Print/Binding),2025,0,0,0,0,0,0,0,0,0,0,0,0
Procurement Planning,Manuf Exp,Meeting,Manuf Exp_Meeting,2025,0,0,29,1,0,0,0,0,0,0,0,0
SCM,Labor,Salaries,Labor Cost_Salaries(Basic),2025,2257,6085,8340,6696,6649,6933,8303,-2839,-285,-234,-79,61
SCM,Labor,Salaries,Labor Cost_Salaries(Overtime Allowance),2025,0,0,0,0,0,0,0,0,0,0,0,0
SCM,Labor,Salaries,Labor Cost_Salaries(Holiday Work Allowance),2025,0,0,0,0,0,0,0,0,0,0,0,0
SCM,Labor,Salaries,Labor Cost_Salaries(Not-used Vacation Compensation),2025,507,522,1256,839,921,803,396,-10435,36,30,10,-8
SCM,Labor,Salaries,Labor Cost_Salaries(Others),2025,11406,18678,5950,4723,3983,5071,9793,-89,-397,-327,-110,86
SCM,Labor,Bonus,Labor Cost_Bonus(General_Office Staff),2025,0,0,0,0,0,0,0,0,0,0,0,0
SCM,Labor,Bonus,Labor Cost_Bonus(Personal Incentive_Office Staff),2025,0,0,0,0,0,0,0,0,0,0,0,0
SCM,Labor,Bonus,Labor Cost_Bonus(STI),2025,773,781,827,950,1022,1019,-2528,-2740,0,0,0,0
